chunk,phrase_type,word_order
cc nsubj obj advmod conj cc det obj det nmod advcl punct mark root nsubj obj obl,subordinate_clause,sop
case,prepositional_phrase,unknown
nsubj root nummod obj xcomp,infinitive_clause,spo
nsubj root det obj,noun_phrase,spo
punct nsubj ccomp det amod obj punct mark obj cc det amod obj obl pobj advcl,subordinate_clause,sov
advmod root det nsubj,adverbial_clause,ps
case obl punct mark ccomp nsubj punct rel det amod nmod obj acl,prepositional_phrase,osv
det amod nsubj mark root det attr amod,subordinate_clause,sp
punct nsubj parataxis punct nsubj advmod attr parataxis,adverbial_clause,sv
det root amod obj advmod obj,adverbial_clause,spo
punct mark nsubj advmod advmod advmod advcl,subordinate_clause,sv
det nsubj root det obj,noun_phrase,spo
punct mark advcl case det obl nsubj,prepositional_phrase,os
mark nsubj advcl aux:pass,subordinate_clause,sv
cc case det obl case nmod conj aux:pass,prepositional_phrase,sov
case det obl punct nsubj case obl acl:relcl punct advmod root nsubj amod obj,prepositional_phrase,osp
cc conj,unknown_chunk,unknown
det obj advcl nsubj case obl case obl cc case obl cc case amod nmod obl cc case obl punct mark case case aux xcomp root X,prepositional_phrase,osp
det nsubj root obl det pobj neg obj,noun_phrase,spo
punct cc conj det obj neg xcomp,noun_phrase,sov
advmod case obl nsubj det obj cc det conj amod root,prepositional_phrase,sop
case det amod obl root det nsubj advmod xcomp,prepositional_phrase,ops
case obl punct mark nsubj case obl xcomp advcl cc case det conj,prepositional_phrase,osv
case det amod obl mark det nsubj case det obl aux advcl,prepositional_phrase,osv
case obl cc conj obj xcomp cc nsubj conj det obj xcomp case obl case obl mark root det nsubj advmod,prepositional_phrase,osp
conj case obl det cc conj advmod det obj mark nsubj advcl advmod ccomp X X X,prepositional_phrase,ovs
cc nsubj root advmod,adverbial_clause,sp
cc conj prep det pobj cc conj advmod,prepositional_phrase,sov
cc nsubj root,main_clause,sp
mark iobj obj ccomp cc mark nsubj attr cc case conj ccomp,prepositional_phrase,osv
nsubj root,main_clause,sp
punct vocative punct ccomp iobj case obl punct ccomp nsubj advmod discourse punct conj det nsubj punct conj mark nsubj ccomp punct cc nsubj conj obj nsubj ccomp cc conj case obl advmod nsubj advcl cc conj punct obj punct nsubj ccomp advmod case obl amod obl mark nsubj advcl case obl case obl xcomp,prepositional_phrase,osv
cc nsubj root iobj nsubj,main_clause,spo
ccomp,complement_clause,sv
nsubj xcomp iobj aux,infinitive_clause,sov
punct root nsubj,main_clause,ps
punct obl pobj nsubj advmod advmod acl aux,adverbial_clause,osv
cc obj ccomp nsubj obj mark xcomp obl obj mark xcomp mark ccomp nsubj advmod xcomp punct root nsubj,subordinate_clause,sop
case nmod:poss obl punct root nsubj,prepositional_phrase,ops
punct mark ccomp nsubj advmod case obl,prepositional_phrase,svo
advmod root nsubj,adverbial_clause,ps
case det nmod:poss obl ccomp nsubj case nmod:poss obj ccomp cc case nmod:poss obj conj punct cc nsubj conj obj case obl,prepositional_phrase,osv
cc advmod det nsubj root cc det nsubj ref case det obl conj mark nsubj advmod,prepositional_phrase,spo
ccomp punct advmod conj nsubj case advmod obl cc conj obj case obl advmod,prepositional_phrase,sov
cc mark nsubj root,subordinate_clause,sp
mark nsubj advmod ccomp advmod punct advmod conj nsubj det obj punct cc det nsubj conj punct vocative punct ccomp nsubj obj advmod obl det amod amod pobj punct conj det nsubj punct ccomp mark nsubj obl advmod pobj advmod mark ccomp,subordinate_clause,sov
advmod advmod punct root nsubj,adverbial_clause,ps
punct ccomp nsubj advmod advmod neg advmod xcomp punct mark conj nsubj neg det amod attr,subordinate_clause,sv
nsubj cc det conj root advmod,adverbial_clause,sp
cc conj advmod case obl cc det amod amod obl punct case nummod obl nsubj case det obl advmod acl:relcl xcom,prepositional_phrase,osv
cc nsubj root obl det pobj obl pobj,noun_phrase,spo
punct cc advmod nsubj obl det pobj conj punct advmod conj nsubj det amod obj cc conj advmod det amod obj obl mark nsubj ccomp obl det pobj,subordinate_clause,sov
advmod root nsubj det obj,adverbial_clause,pso
case obl,prepositional_phrase,vs
cc det nsubj root det obj iobj,noun_phrase,spo
mark advmod mark nsubj advmod advcl,subordinate_clause,sv
