chunk,phrase_type,word_order
acl:relcl case obl case obl mark acl:relcl case det obl mark advcl case obl nmod:poss cc conj case case obj nmod:poss mark advmod acl:relcl cc advmod conj obj cc conj case obl cc advmod conj nsubj advmod ccomp case det obl case obl det compound,prepositional_phrase,osv
det root compound acl,noun_phrase,p
case det obl obj mark acl:relcl xcomp case obl case obl cc conj compound conj case nmod mark advmod acl:relcl obj nmod:poss mark advmod advcl case obl,prepositional_phrase,ov
cc root obj,main_clause,pso
case nmod compound det compound xcomp xcomp case det case case obl nsubj,prepositional_phrase,vs
cc advmod advmod root advmod,adverbial_clause,ps
cc mark advmod conj advmod obj case nmod cc det case conj case obl mark acl:relcl advmod cc conj conj case obl cc advmod aux,prepositional_phrase,osv
conj case obl nmod:poss advmod case obl nmod:poss conj case obl case obl conj nsubj case nmod case obl case obl,prepositional_phrase,ovs
advmod mark advcl advmod root,subordinate_clause,sp
cc advmod conj advmod punct parataxis compound nmod:poss punct mark nsubj advmod advcl case obl,prepositional_phrase,svo
punct advmod nsubj cc conj mark advmod case det nmod cop root xcomp,prepositional_phrase,sp
case obl cc conj obj cc conj case det obl punct cc det nsubj conj mark acl:relcl det nsubj advmod cc mark cop,prepositional_phrase,osv
conj cc conj xcomp advmod conj case obl case obl cc mark advcl det nsubj case obl cc case conj nmod:poss case nmod amod conj case obl csubj case obl case det obl,prepositional_phrase,osv
root det nsubj det obj,noun_phrase,pso
mark acl:relcl case obl mark advcl obj det compound case obl,prepositional_phrase,osv
nsubj root,main_clause,sp
case obl compound,prepositional_phrase,unknown
det nsubj root,noun_phrase,sp
case obl nmod:poss det nsubj mark acl:relcl compound cc conj cc conj punct appos nummod nummod punct cc advmod advmod nsubj conj obj compound cc det nsubj conj compound mark acl:relcl case obj cc conj obj,prepositional_phrase,osv
cc nsubj root advmod amod,adverbial_clause,sp
cc case obl advmod conj obj cc advmod conj nsubj compound conj obj cc advmod conj obj case nmod,prepositional_phrase,osv
cc root xcomp,infinitive_clause,ps
case nummod obl mark acl:relcl obj compound cc conj case obl flat punct appos flat flat punct nsubj flat mark acl:relcl nsubj nmod:poss nsubj compound case obl nsubj cc case obl conj nsubj cc nsubj nmod:poss case nmod conj cc conj obj case obl nsubj flat flat,prepositional_phrase,osv
